Rank,Class,ModelYear,Manufacturer,ModelName,VehicleType,Weight,DriveType,Transmission,Gears,FuelDelivery,Horsepower,EngineDisplacement,MPG_City,MPG_Hwy,AvgMPG
High,Car,1997,GM,METRO,Sedan/Wagon,2000,Front,Manual,5,TBI,55,61,39.5,46.1,42.8
High,Car,1998,GM,METRO,Sedan/Wagon,2000,Front,Manual,5,TBI,55,60,38.1,46.1,42
High,Car,1999,VW,NEW BEETLE,Sedan/Wagon,3000,Front,Manual,5,Diesel,90,116,36.8,45.4,41
High,Car,1999,VW,NEW GOLF,Sedan/Wagon,3000,Front,Manual,5,Diesel,90,116,36.8,45.4,41
High,Car,1999,VW,NEW JETTA,Sedan/Wagon,3000,Front,Manual,5,Diesel,90,116,36.8,45.4,41
High,Car,2000,Honda,INSIGHT,Sedan/Wagon,2000,Front,Manual,5,Port,67,61,51.8,63,57.4
High,Car,2001,Honda,INSIGHT,Sedan/Wagon,2000,Front,Manual,5,Port,67,61,50.8,61.8,56.3
High,Car,2002,Honda,INSIGHT,Sedan/Wagon,2000,Front,Manual,5,Port,67,61,50.2,60.7,55.6
High,Car,2003,Honda,INSIGHT,Sedan/Wagon,2000,Front,Manual,5,Port,67,61,49.4,60.3,55
High,Car,2004,Honda,INSIGHT,Sedan/Wagon,2000,Front,Manual,5,Port,67,61,48.6,57.9,53.5
High,Car,2005,Honda,INSIGHT,Sedan/Wagon,2000,Front,Manual,5,Port,73,61,48.3,57.7,53.3
High,Car,2006,Honda,INSIGHT,Sedan/Wagon,2000,Front,Manual,5,Port,73,61,47.9,57.6,53
High,Car,2007,Toyota,PRIUS,Sedan/Wagon,3000,Front,CVT,1,Port,76,91,47.7,45.1,46.2
High,Car,2008,Toyota,PRIUS,Sedan/Wagon,3000,Front,CVT,1,Port,76,91,47.7,45.1,46.2
High,Car,2009,Toyota,PRIUS,Sedan/Wagon,3000,Front,CVT,1,Port,76,91,47.7,45.1,46.2
High,Car,2010,Honda,FCX,Sedan/Wagon,4000,Front,Automatic with Lockup,1,FCV,130,,59.4,60.8,60.2
High,Car,2011,BMW,1 Series Active E,Sedan/Wagon,4000,Rear,Automatic,1,Electric,168,,106.7,96.4,100.6
High,Car,2012,Mitsubishi,i-MiEV,Sedan/Wagon,2750,Rear,Automatic with Lockup,1,Electric,66,,126.4,98.7,109
High,Car,2013,Toyota,iQ EV,Sedan/Wagon,2750,Front,CVT,1,Electric,63,,138.3,104.8,117
High,Car,2014,BMW,I3 BEV,Sedan/Wagon,3000,Rear,Automatic,1,Electric,168,,137.5,111.4,121.3
High,Car,2015,BMW,I3 BEV,Sedan/Wagon,3000,Rear,Automatic,1,Electric,168,,137.5,111.4,121.3
High,Car,2016,BMW,I3 BEV,Sedan/Wagon,3000,Rear,Automatic,1,Electric,170,,137.5,111.4,121.3
High,Car,2017,Hyundai,Ioniq Electric,Sedan/Wagon,3500,Front,Automatic,1,Electric,118,,150,122,132.6
High,Car,2018,Hyundai,Ioniq Electric,Sedan/Wagon,3500,Front,Automatic,1,Electric,118,,150,122,132.6
High,Car,2019,Hyundai,Ioniq Electric,Sedan/Wagon,3500,Front,Automatic,1,Electric,134,,150,122,132.6
High,Car,2020,Tesla,Model 3 Standard Range Plus,Sedan/Wagon,4000,Rear,Automatic,1,Electric,283,,148.4,132,138.6
High,Car,2021,Tesla,Model 3 Standard Range Plus RWD,Sedan/Wagon,4000,Rear,Automatic,1,Electric,256,,149,132.4,139.1
High,Car,2022,Lucid,Air G Touring AWD w/19 inch wheels,Sedan/Wagon,5500,4wd,Automatic,1,Electric,1112,,130.2,132.3,131.4
High,Truck,1975,Nissan,PICKUP,Pickup,2750,Rear,Manual,,Carb,107,119,18.3,24.8,20.8
High,Truck,1976,Ford,COURIER PICKUP,Pickup,3000,Rear,Manual,,Carb,65,109,21.1,25.9,23
High,Truck,1977,Ford,COURIER CAB CHAS,Pickup,3000,Rear,Manual,,Carb,67,110,25,31.1,27.4
High,Truck,1977,Ford,COURIER PICKUP,Pickup,3000,Rear,Manual,,Carb,67,110,25,31.1,27.4
High,Truck,1977,Mazda,MAZDA B1800 PICK,Pickup,3000,Rear,Manual,,Carb,67,110,25,31.1,27.4
High,Truck,1978,Ford,COURIER CAB CHAS,Pickup,3000,Rear,Manual,,Carb,67,110,26.3,30,27.8
High,Truck,1978,Ford,COURIER PICKUP,Pickup,3000,Rear,Manual,,Carb,67,110,26.3,30,27.8
High,Truck,1978,Mazda,B1800 PICKUP,Pickup,3000,Rear,Manual,,Carb,67,110,26.3,30,27.8
High,Truck,1979,Ford,COURIER PICKUP,Pickup,3000,Rear,Manual,5,Carb,72,120,24,28.7,25.9
High,Truck,1979,Mazda,B2000 PICKUP,Pickup,3000,Rear,Manual,5,Carb,72,120,24,28.7,25.9
High,Truck,1980,VW,2WD,Pickup,2250,Front,Manual,5,Diesel,48,90,35.9,41.6,38.3
High,Truck,1981,VW,P/U 2WD,Pickup,2250,Front,Manual,5,Diesel,52,97,33.4,39.7,36
High,Truck,1982,VW,P/U 2WD,Pickup,2250,Front,Manual,4,Diesel,52,97,36.6,37.4,37
High,Truck,1983,VW,P/U 2WD,Pickup,2250,Front,Manual,4,Diesel,52,97,37.8,38.7,38.2
High,Truck,1984,GM,P'UP P/U 2WD,Pickup,2750,Rear,Manual,4,Diesel,62,137,34.6,38.3,36.1
High,Truck,1985,GM,P'UP P/U 2WD,Pickup,2750,Rear,Manual,4,Diesel,62,137,34.6,38.3,36.1
High,Truck,1986,GM,P'UP 2WD,Pickup,2750,Rear,Manual,4,Diesel,62,137,34.3,38.1,36
High,Truck,1987,GM,P'UP 2WD,Pickup,3000,Rear,Manual,4,Diesel,60,137,34,38.5,36
High,Truck,1988,Suzuki,SAMURAI,Truck SUV,2250,4wd,Manual,5,Carb,64,81,27,28.7,27.8
High,Truck,1989,Suzuki,SIDEKICK,Truck SUV,2250,4wd,Manual,5,Carb,64,79,27.2,28.3,27.7
High,Truck,1990,Suzuki,SAMURAI,Truck SUV,2500,4wd,Manual,5,TBI,66,79,27.2,28.1,27.6
High,Truck,1991,Suzuki,SAMURAI,Truck SUV,2500,4wd,Manual,5,TBI,66,79,27,27.9,27.5
High,Truck,1992,Suzuki,SAMURAI,Truck SUV,2500,4wd,Manual,5,TBI,66,79,26.8,27.8,27.3
High,Truck,1993,Suzuki,SAMURAI,Truck SUV,2500,4wd,Manual,5,TBI,66,79,26.6,27.7,27.2
High,Truck,1994,Suzuki,SAMURAI,Truck SUV,2500,4wd,Manual,5,TBI,66,79,26.4,27.6,27
High,Truck,1995,Suzuki,SAMURAI,Truck SUV,2500,4wd,Manual,5,TBI,66,79,26.3,27.5,26.9
High,Truck,1996,GM,S10 PICKUP 2WD,Pickup,3000,Rear,Manual,5,Port,118,134,22.3,29.6,25.6
